site,grid,vrm_1cm,height_diff,mean_curv,mean_pro_curv,mean_plan_curv,vrm_dev
CR,74,0.058762858,1.874814034,0.108610042,5.508643107,5.623100058,0.001865499
CR,75,0.066802447,1.404519081,0.218303214,12.02969036,12.23361097,0.00962096
CR,76,0.016667336,2.129292488,-0.072769026,-0.072268131,-0.145120094,0.017582543
CR,77,0.020446599,1.682811737,0.469451939,-0.594446536,-0.12543942,0.022331908
CR,78,0.019843377,1.144955635,-0.366636893,-0.527104675,-0.893623009,0.017154079
CR,79,0.017846538,1.743309021,0.279279843,-0.645507493,-0.366225875,0.016142628
CR,80,0.009887072,1.504091263,0.262685468,0.562476341,0.821765762,0.012624321
CR,81,0.055503833,2.597961426,-0.251912811,0.075053835,-0.175823814,0.023354824
CR,82,0.04998166,2.421360016,-0.149674363,-0.802515982,-0.951386511,0.020985111
CR,83,0.128797625,4.705024242,-0.287401849,3.258835507,2.971232312,0.001400683
CR,84,0.042027618,2.848414898,0.150264456,-2.660917243,-2.510562423,0.017362573
CR,85,0.055522111,3.588540077,0.106436945,-1.684907468,-1.578453761,0.020605359
CR,86,0.089868752,3.551327705,0.248049509,-4.240034737,-3.992039508,0.011965686
CR,87,0.091906394,2.396616936,-0.275748368,-0.749204165,-1.021287774,0.022079317
CR,88,0.078956875,1.835591316,-0.009047975,-10.12834088,-10.13709069,0.012258123
CR,89,0.083207116,1.638442039,-0.082394553,-7.96968547,-8.052118894,0.015827572
CR,90,0.066549965,1.848779678,0.312150956,-8.006291488,-7.692190754,-0.000717669
CR,91,0.058333244,2.283024311,0.12393927,-5.279351885,-5.156595011,0.006857191
CR,92,0.0836884,2.642847061,-0.323475702,-9.61903139,-9.97050377,0.004909175
CR,93,0.09009683,4.845121861,0.052529143,37.74616087,37.69195524,0.016024854
CR,94,0.056056068,3.803164005,-0.21427914,-2.408803383,-2.677335609,0.010673125
CR,95,0.099695221,2.536513329,0.187664244,2.964903835,3.151446786,0.022148935
CR,96,0.09194649,3.213570118,-0.052888934,3.291950918,3.238993344,0.028486317
CR,97,0.093826424,2.20425415,0.181309344,-3.471484824,-3.290175479,0.011455139
CR,98,0.053116203,1.757832527,-0.083107685,-4.776857188,0,0.011341084
CR,99,0.050884093,1.845334053,-0.171665855,-1.041185507,0,0.012717885
CR,100,0.071697334,2.143701553,0.006679051,7.375104991,0,0.008325177
GC,1,0.044528112,1.397301674,-0.094733214,-2.582801332,-2.677448286,0.004856846
GC,2,0.047044221,1.424940109,0.000870392,-2.523108631,-2.520784935,0.009539254
GC,3,0.042000452,1.028398514,0.057642147,-2.829149264,-2.771064237,0.003179502
GC,4,0.077547092,2.340361118,-0.631071696,-4.042689203,-4.674070628,0.02662207
GC,5,0.111473358,2.642484188,-0.346587691,-5.421083771,-5.770892902,0.013193521
GC,6,0.073286097,1.974411964,-0.177975898,-5.645877801,-5.821718435,0.011883317
GC,7,0.035166788,1.894654274,0.002272183,-3.485476409,-3.48340996,0.005014329
GC,8,0.033120508,1.522868156,0.012248417,-2.57399245,-2.561848961,0.009287537
GC,9,0.045743608,0.98445034,-0.056342641,-3.384627875,-3.442885152,0.00110853
GC,10,0.051365637,1.181838036,-0.24539269,-3.674519871,-3.91991256,0.00665296
GC,11,0.051699952,1.349343777,0.274054491,-3.005332672,-2.730015017,0.017312206
GC,12,0.053585595,0.998190403,0.029666729,-3.458642055,-3.428118083,0.015754625
GC,13,0.042112533,1.99157548,0.252814826,-2.910723557,-2.657998079,0.005844195
GC,14,0.044014906,2.075404167,0.017001479,-3.238501373,-3.221663239,0.008246112
GC,15,0.040745117,1.567250252,-0.024808737,-2.273111564,-2.298712018,0.01367229
GC,16,0.067114051,1.88227129,0.359983405,-4.644825156,-4.284152183,0.014721219
GC,17,0.045413477,0.868495464,0.052989165,-1.811244014,-1.757998371,0.024977108
GC,18,0.038126405,0.729961395,-0.218714475,-1.331536048,-1.554,0.014362495
GC,19,0.048513211,1.262902737,0.074322916,-4.37751969,-4.3031421,-0.000325299
GC,20,0.040435153,1.335576534,0.20533826,-3.07517217,-2.869833909,0.004613584
GC,21,0.065120377,2.007428169,-0.043068033,-6.373319121,-6.416787237,0.017363295
GC,22,0.066875664,1.96548605,0.120993423,-6.080262353,-5.959325387,0.02215052
GC,23,0.062467393,2.572136402,-0.142122267,-3.234357613,-3.376068377,0.021164732
GC,24,0.079357759,1.81750536,0.172121662,-12.17212991,-12.00026786,0.003389457
GC,25,0.04933252,1.332515001,-0.089211015,-4.07113683,-4.168124661,-0.001289671
GC,26,0.083096443,3.110723138,0.393434287,-37.51832775,-37.13079141,-4.66E-06
GC,27,0.062644584,1.310017586,0.307009538,-4.121433103,-3.815739473,0.009848824
GC,28,0.095994972,3.070883751,0.137431141,-7.057107628,-6.919785576,-0.006076088
GC,29,0.061002772,1.6389575,-0.139810871,-4.619376434,-4.758896554,0.014367533
GC,30,0.113864002,2.556245565,-0.931683537,-6.671908056,-7.606717355,-0.012655406
GC,31,0.04419516,1.935882628,0.192112588,-5.22105174,-5.029207079,-0.004338595
GC,32,0.050222451,3.596091747,-0.074271358,-2.31837396,-2.39297782,0.002067296
GC,33,0.057275955,2.280249596,-0.105456364,-1.930988078,-2.036643837,0.023745224
GC,34,0.074588138,1.803956032,0.325923889,-10.11267615,-9.784368138,0.008918897
GC,35,0.052799158,1.737727165,-0.246408263,-2.740419787,-2.98647032,0.019720012
GC,36,0.068798582,2.794156551,-0.080529608,-1.026441154,-1.098126927,0.008598625
GC,37,0.046596904,1.527873889,-0.060029966,-4.996729159,-5.056759126,0.004391448
GC,38,0.037482612,1.873118341,0.447520552,-3.042190522,-2.59466997,0.014727565
GC,39,0.064324371,2.552965164,-0.399344656,-0.325141488,-0.725824591,0.011682257
GC,40,0.064000429,1.966776848,0.180946153,-7.163511785,-6.983632532,0.010747834
GC,41,0.039215774,1.120020866,-0.480080578,-2.22234778,-2.702629707,0.017137
GC,42,0.039978675,1.188145161,-0.072676729,-3.034738291,-3.112998398,0.020506472
GC,43,0.048095691,1.43233794,0.330495257,-2.916730545,-2.586704623,0.018136789
GC,44,0.053827498,2.336733222,-0.069345757,-1.381422931,-1.449994766,0.020256844
GC,45,0.046855733,2.135254383,0.158341627,-2.274709849,-2.116128411,0.012611343
GC,46,0.052104812,1.078323364,0.165036701,-3.2887935,-3.124302959,0.012200349
GC,47,0.045891,0.936754704,0.10276504,-3.070909036,-2.965157569,0.021247093
GC,48,0.04065557,1.177084923,0.031057915,-1.954903461,-1.926588415,0.014851098
GC,49,0.057376073,2.115686536,0.165518096,-5.755170141,-5.590095082,0.009504597
GC,50,0.081054075,2.145813823,0.024377365,-8.183044777,-8.158823247,0.005226637
GC,51,0.057192988,2.191547871,-0.289172403,-3.397283942,-3.686268054,0.021843449
GC,52,0.041596026,0.978331089,-0.019019694,-2.273000832,-2.292020526,0.003476279
GC,53,0.043613635,0.822824478,0.024851877,-3.970432604,-3.941316631,0.00717416
GC,54,0.039523572,1.46642828,0.26415371,-2.432743211,-2.168135087,0.017353587
GC,55,0.074060923,3.964408159,-0.169429393,-12.0554564,-12.22488579,0.007960239
GC,56,0.101559332,4.901409626,-0.390304049,-13.20102014,-13.59132418,-0.001114697
GC,57,0.054731231,2.390646935,0.080511001,-4.11469504,-4.033856098,0.010829775
GC,58,0.044122081,2.188608646,0.207049543,-5.728919811,-5.52172629,0.011001078
GC,59,0.087811112,3.64246273,-0.173020873,-13.03089326,-13.20363039,0.002160061
GC,60,0.053780419,2.594920158,0.031069156,-4.19681237,-4.16571093,0.016036264
GC,61,0.058519744,2.380272865,0.318680412,-7.856414025,-7.538383725,0.000448518
GC,62,0.077781636,3.394599617,-0.24909682,-6.190686363,-6.439783182,0.010933294
GC,63,0.062264985,2.84548378,0.188455329,1.282791137,1.471157853,0.020515841
GC,64,0.059468924,2.121587276,0.059473376,-2.278471454,-2.218291272,0.006674036
GC,65,0.061557681,3.013524055,0.045774241,-9.662929044,-9.617031168,0.014512368
GC,66,0.068265383,2.158207417,-0.090448897,-8.035130831,-8.125647152,0.016041928
GC,67,0.088134284,2.339936495,-0.000499323,-19.74388413,-19.7439079,-0.022465233
GC,68,0.091324202,2.613791227,-0.098621512,-6.133820291,-6.232441803,0.00984528
GC,69,0.065526975,2.612257957,0.416928676,-6.072468213,-5.655114379,0.01382975
GC,70,0.0574246,2.449104309,-0.062239389,-1.411463343,-1.473702732,0.016284888
GC,71,0.044836707,1.639217854,0.02815222,-3.365262311,-3.337678152,0.020466044
GC,72,0.04474123,2.536499023,0.120777271,-2.171241934,-2.050365819,0.020507049
GC,73,0.096960221,4.485035419,0.145548807,-13.85642549,-13.71060425,-0.011656101
GC,74,0.083067458,3.541450262,0.005269261,-11.9191321,-11.91366063,0.015552979
GC,75,0.060946518,2.000501156,-0.257944163,-1.3990535,-1.656847671,0.026479608
GC,76,0.031299151,0.82056284,0.129163777,-2.96322506,-2.834061283,0.011875109
GC,77,0.035560197,0.866494656,-0.057550254,-2.27256035,-2.330158085,0.015792964
GC,78,0.02846848,1.279193401,-0.153098502,-1.058681702,-1.211707798,0.019204916
GC,79,0.092945624,3.315718651,0.136268097,-12.62680532,-12.49133663,-0.00378983
GC,80,0.072247865,2.57523489,-0.01999954,-9.076745483,-9.096745023,0.008323752
GC,81,0.034335631,1.674301624,0.058937873,-1.088248677,-1.027804767,0.024750731
GC,82,0.046577332,0.894397259,0.128142018,-3.579797365,-3.449966359,0.006129281
GC,83,0.032486775,1.067067146,0.026814035,-2.394855975,-2.368089458,0.017626176
GC,84,0.044227247,1.017426014,-0.107223027,-2.847664873,-2.955091696,0.017351506
GC,85,0.056852814,1.494432926,-0.000544399,-4.700933971,-4.701068101,0.005332507
GC,86,0.062030286,2.055645943,0.216432969,-7.48705395,-7.27062098,0.005599031
GC,87,0.049493535,1.751874447,0.16763234,-2.578307889,-2.412974821,0.009674883
GC,88,0.038207136,0.961763859,0.056865255,-3.219022401,-3.162441469,0.013387986
GC,89,0.037699929,0.838140488,-0.140342554,-1.056050532,-1.195306588,0.009280457
GC,90,0.052543039,1.648042202,0.130255457,-3.573552643,-3.44370637,0.001185641
GC,91,0.06512352,2.21833849,-0.256902738,-8.226965739,-8.483868476,0.00931704
GC,92,0.089023011,3.111854553,0.034654108,-0.296586384,-0.262070566,-0.00159707
GC,93,0.057026267,2.608093739,-0.037470327,0.126246395,0.089410453,0.020862392
GC,94,0.037213892,1.281527042,0.15991345,-1.852860211,-1.693188687,0.016840109
GC,95,0.056469592,1.517745972,0.196167888,-2.728345719,-2.533451868,0.017191939
GC,96,0.105377565,1.947481155,-0.122097634,-15.34188418,-15.46579732,0.012979509
GR,1,0.08541727,1.493635178,-0.188252561,-13.03652247,-13.22415616,-0.014589182
GR,2,0.070146547,1.382602692,-0.005059639,-7.717591269,-7.722650908,-0.014284646
GR,3,0.061161623,1.640983582,0.044642336,-8.092953439,-8.047183107,-0.004788803
GR,4,0.09379326,2.39140892,0.013192339,-14.3494132,-14.33609816,-0.012305186
GR,5,0.080317116,1.540002823,0.058376543,-10.63723842,-10.577673,0.00678627
GR,6,0.088818497,1.067746162,-0.10847875,-12.71987641,-12.82796889,0.009936328
GR,7,0.059294649,2.086116791,-0.036521033,-4.908078802,-4.944599835,0.003964578
GR,8,0.0880012,2.93721199,-0.156482248,-7.841499245,-7.997981494,-0.000919627
GR,9,0.085346342,1.56363678,-0.037493503,-9.573560715,-9.610686296,0.008789286
GR,10,0.082567832,1.73229599,0.086729824,-11.66442545,-11.57814135,-0.007435928
GR,11,0.106223361,1.368525505,-0.198588734,-17.33546542,-17.53614757,-0.002942883
GR,12,0.077585435,0.782286644,0.403163792,-14.02728631,-13.62242269,-0.001332965
GR,13,0.045473796,1.010808945,-0.249464581,-5.473321788,-5.724481484,-0.00019658
GR,14,0.036711302,1.377658844,0.481268997,-4.79188156,-4.310222158,0.009935558
GR,15,0.103592294,4.050428391,-0.099712656,-5.52807338,-5.627247719,0.004498647
GR,16,0.072030763,2.8379879,0.113936165,-8.059270265,-7.945679035,0.012201521
GR,17,0.095955668,1.823417664,0.242317584,-13.83950215,-13.60108001,-0.000515067
GR,18,0.063914165,1.418854713,-0.048575103,-8.160207829,-8.210732286,-0.000696097
GR,19,0.078299635,1.88476181,0.1371223,-11.10009213,-10.97112886,0.004142243
GR,20,0.105474843,2.07845974,-0.335322775,-9.752185356,-10.08676712,0.004680238
GR,21,0.091343968,2.541732788,-0.134458066,-12.12805629,-12.26244993,0.010528108
GR,22,0.089793792,1.897356033,-0.638070753,-10.15599335,-10.79426966,0.012430353
GR,23,0.060317659,1.230417252,-0.23721213,-2.888516229,-3.125728359,0.030134777
GR,24,0.057008157,1.698617935,0.083940972,-7.277606065,-7.193648655,0.002725833
GR,25,0.045823563,1.057962418,0.012127115,-6.161817501,-6.149463699,0.001892487
GR,26,0.075979779,2.655056953,-0.065942242,-8.677207772,-8.742238974,0.00387734
GR,27,0.071072425,2.061427116,0.117965412,-9.401256729,-9.28397197,-0.003094963
GR,28,0.100323524,1.71489048,-0.206724794,-10.35063354,-10.58270741,0.013573905
GR,29,0.052085988,2.134046555,-0.111987109,-3.397732736,-3.518032122,0.0050787
GR,30,0.048922969,2.732665062,-0.018581856,-6.877891078,-6.896712643,0.000771572
GR,31,0.054427249,2.66174984,0.086936631,-6.965661653,-6.879503834,-0.002327918
GR,32,0.065041394,2.066455841,0.042126004,-9.889767117,-9.867059858,-0.007955022
GR,33,0.094455744,1.362327576,-0.15145025,-15.51092951,-15.66252178,0.000614302
GR,34,0.105959079,1.818993568,0.137123799,-13.04976479,-12.91208213,0.000687816
GR,35,0.109328177,2.486883163,-0.308561977,-5.421788872,-5.730350849,0.02856121
GR,36,0.072042681,2.519422531,-0.211458403,-2.858761933,-3.070258172,0.005416405
GR,37,0.087406777,1.844779968,-0.151516595,-10.6065712,-10.75914066,0.003003513
GR,38,0.095090309,2.018694878,-0.173777393,-12.8159896,-12.98829511,0.002608896
GR,39,0.119577702,2.612112999,0.211496022,-2.191715804,-1.980199376,0.002455267
GR,40,0.131071002,2.977286339,-0.024865121,-13.23791185,-13.26277697,-0.006398424
GR,41,0.072388644,1.227848053,-0.071899227,-9.266321498,-9.338220725,0.013547105
GR,42,0.067310917,2.526093483,0.096451438,-4.767790799,-4.671341858,0.003180368
GR,43,0.118170529,1.326741219,-0.361287252,-17.27738447,-17.64036258,-0.014052261
GR,44,0.089243965,1.772413254,0.059227765,-12.45710918,-12.40536633,-0.005749118
GR,45,0.102267005,1.958350182,-0.10304663,-12.34775157,-12.44949058,-0.00402997
GR,46,0.069807106,1.586787224,0.354831745,-9.743281946,-9.388340094,0.018136401
GR,47,0.048007502,1.282569885,-0.023579941,-7.660665922,-7.684411888,0.002104932
GR,48,0.031549331,2.972917557,-0.18244129,-1.760656043,-1.943064465,0.007581237
GR,49,0.117872004,1.21505928,-0.130618563,-17.41270594,-17.54031976,-0.014280269
GR,50,0.096186218,1.335744858,-0.170642446,-12.1320104,-12.30265284,-0.00853291
GR,51,0.129801198,1.608346939,0.073548152,-17.41500262,-17.34150935,-0.010187595
GR,52,0.107834714,1.764964104,0.14205234,-16.51482052,-16.37276818,-0.005424456
GR,53,0.07252575,2.981550217,-0.018354606,-8.329418641,-8.350898136,0.023913881
GR,54,0.071374923,2.648979187,0.051074037,-2.532534832,-2.482820195,0.015377367
GR,55,0.102933111,1.802242279,-0.054758687,-15.72548815,-15.78023305,-0.006830098
GR,56,0.100214993,2.027989388,-0.115403537,-11.81108572,-11.92648925,-0.012908737
GR,57,0.121909889,2.650017738,-0.230660041,-8.143609137,-8.375130366,-0.006242232
GR,58,0.0750999,2.498958588,0.056658395,-4.723201289,-4.671164131,0.017651645
